season,bracket,round,matchup_id,roster_id_1,roster_id_2,winner,loser,position
2021,winners,1,1,5,6,6,5,
2021,winners,1,2,4,2,4,2,
2021,winners,2,3,10,6,6,10,
2021,winners,2,4,1,4,4,1,
2021,winners,2,5,5,2,2,5,5
2021,winners,3,6,6,4,4,6,1
2021,winners,3,7,10,1,1,10,3
2021,losers,1,1,9,8,9,8,
2021,losers,1,2,7,3,7,3,
2021,losers,2,3,9,7,9,7,1
2021,losers,2,4,8,3,8,3,3
2022,winners,1,1,1,9,1,9,
2022,winners,1,2,2,7,7,2,
2022,winners,2,3,4,1,4,1,
2022,winners,2,4,10,7,10,7,
2022,winners,2,5,9,2,9,2,5
2022,winners,3,6,4,10,4,10,1
2022,winners,3,7,1,7,7,1,3
2022,losers,1,1,8,5,8,5,
2022,losers,1,2,3,6,3,6,
2022,losers,2,3,8,3,8,3,1
2022,losers,2,4,5,6,6,5,3
2023,winners,1,1,4,8,8,4,
2023,winners,1,2,2,1,1,2,
2023,winners,2,3,9,8,8,9,
2023,winners,2,4,7,1,1,7,
2023,winners,2,5,4,2,4,2,5
2023,winners,3,6,8,1,1,8,1
2023,winners,3,7,9,7,9,7,3
2023,losers,1,1,6,3,3,6,
2023,losers,1,2,10,5,5,10,
2023,losers,2,3,3,5,5,3,1
2023,losers,2,4,6,10,10,6,3
2024,winners,1,1,6,5,5,6,
2024,winners,1,2,8,2,8,2,
2024,winners,2,3,1,5,1,5,
2024,winners,2,4,7,8,7,8,
2024,winners,2,5,6,2,6,2,5
2024,winners,3,6,1,7,7,1,1
2024,winners,3,7,5,8,5,8,3
2024,losers,1,1,3,9,9,3,
2024,losers,1,2,4,10,10,4,
2024,losers,2,3,9,10,9,10,1
2024,losers,2,4,3,4,3,4,3
2025,winners,1,1,8,1,1,8,
2025,winners,1,2,12,2,2,12,
2025,winners,2,3,10,1,10,1,
2025,winners,2,4,11,2,2,11,
2025,winners,2,5,8,12,12,8,5
2025,winners,3,6,10,2,2,10,1
2025,winners,3,7,1,11,1,11,3
2025,losers,1,1,5,3,5,3,
2025,losers,1,2,6,7,7,6,
2025,losers,2,3,4,5,5,4,
2025,losers,2,4,9,7,7,9,
2025,losers,2,5,3,6,3,6,5
2025,losers,3,6,5,7,7,5,1
2025,losers,3,7,4,9,4,9,3
