season,roster_id,user_id,manager,team_name,wins,losses,ties,points_for,points_against,potential_points,efficiency,draft_slot,finish,champion,made_playoffs,waiver_budget_used,total_moves
2021,10,475399371639222272,cc5597,No Punt Intended,9,4,0,1840.38,1743.82,2116.6,0.8695,6,1,0,1,82,0
2021,1,608781531883859968,bgreenblatt,Ellis is a homo,8,5,0,2000.84,1900.6,2217.96,0.9021,2,2,0,1,91,0
2021,2,736077599457026048,Erjohnson14,Ben choked ,8,5,0,1893.72,1902.84,2283.18,0.8294,3,3,0,1,100,0
2021,5,716698629934481408,kaufmannc,Cleveland Steamers,8,5,0,1841.1,1736.58,2054.38,0.8962,1,4,0,1,46,0
2021,6,736740647758938112,JSanDusky69,2 Girls 1 Kupp,8,5,0,1836.98,1804.2,2139.4,0.8586,9,5,0,1,100,0
2021,4,736744257179770880,jdrobny,Kareem in her Hunt,6,7,0,1903.2,1750.04,2169.86,0.8771,5,6,1,1,100,0
2021,8,736803054736822272,TylerWicks,Opted Out,6,7,0,1737.36,1785.0,2022.08,0.8592,7,7,0,0,95,0
2021,3,737091087440674816,MaxSirianni,Brad can you Diggs it?,5,8,0,1605.8,1847.06,1932.96,0.8307,4,8,0,0,87,0
2021,7,735974647736213504,KingTowsk,The Toilet Bowl Champ,4,9,0,1833.98,1808.02,2116.92,0.8663,10,9,0,0,100,0
2021,9,710284244835979264,brockhusk,Mike White GOAT,3,10,0,1728.8,1944.0,1971.76,0.8768,8,10,0,0,100,0
2022,4,736744257179770880,jdrobny,Rather Be Lucky Than Good,12,2,0,1845.47,1655.3,2100.26,0.8787,4,1,1,1,125,0
2022,10,475399371639222272,cc5597,The Bengalphin Boys,9,5,0,2085.29,1949.34,2320.35,0.8987,7,2,0,1,125,0
2022,7,735974647736213504,KingTowsk,Leeroy Jenkins,8,6,0,2016.55,2000.9,2170.67,0.929,1,3,0,1,125,0
2022,1,608781531883859968,bgreenblatt,Taylor Park Boys,7,7,0,2116.16,2045.27,2330.48,0.908,5,4,0,1,125,0
2022,9,710284244835979264,brockhusk,Super Flex Offenders ,7,7,0,1905.59,1789.86,2165.1,0.8801,8,5,0,1,112,0
2022,2,736077599457026048,Erjohnson14,Dairy Sanders,6,8,0,1862.3,1873.66,2098.01,0.8877,2,6,0,1,122,0
2022,5,716698629934481408,kaufmannc,Mar-a-lago Raiders ,6,8,0,1851.03,1927.97,2116.45,0.8746,10,7,0,0,89,0
2022,6,736740647758938112,JSanDusky69,2 Girls 0 Kupps,6,8,0,1788.35,1897.68,2073.9,0.8623,6,8,0,0,125,0
2022,3,737091087440674816,MaxSirianni,Tucker right in the pu$$y,5,9,0,1872.56,2070.38,2136.94,0.8763,9,9,0,0,98,0
2022,8,736803054736822272,TylerWicks,Sick of Gesicki,4,10,0,1864.47,1997.41,2108.38,0.8843,3,10,0,0,97,0
2023,9,710284244835979264,brockhusk,Toss My Saleh’d,12,2,0,2106.38,1819.24,2251.69,0.9355,3,1,0,1,116,0
2023,7,735974647736213504,KingTowsk,Leeroy Jenkins,10,4,0,2085.31,1838.72,2360.04,0.8836,7,2,0,1,125,0
2023,1,608781531883859968,bgreenblatt,Taylor Park Boys,9,5,0,1925.3,1942.08,2110.33,0.9123,8,3,1,1,125,0
2023,4,736744257179770880,jdrobny,B2B,8,6,0,1981.21,1881.78,2233.78,0.8869,2,4,0,1,125,0
2023,8,736803054736822272,TylerWicks,Christian Mingle,7,7,0,1961.91,2056.63,2146.44,0.914,4,5,0,1,87,0
2023,2,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,7,7,0,1947.92,1870.35,2291.35,0.8501,1,6,0,1,106,0
