season,league_id,roster_id,user_id,manager,team_name,avatar
2021,737770240984965120,1,608781531883859968,bgreenblatt,Ellis is a homo,9f2f265e886d5a55d670236275e88fe0
2021,737770240984965120,2,736077599457026048,Erjohnson14,Ben choked ,6e611998104204ee21e4b2bb3aa37a5f
2021,737770240984965120,3,737091087440674816,MaxSirianni,Brad can you Diggs it?,8e1247598f587f8f4257ed435ba089be
2021,737770240984965120,4,736744257179770880,jdrobny,Kareem in her Hunt,206d91d7e6a72bc7c70a0a29d46649e6
2021,737770240984965120,5,716698629934481408,kaufmannc,Cleveland Steamers,6a807a1e5ef51c7b64f1d4d06076f7d9
2021,737770240984965120,6,736740647758938112,JSanDusky69,2 Girls 1 Kupp,0f813fa81779005b70e54c8cec253a90
2021,737770240984965120,7,735974647736213504,KingTowsk,The Toilet Bowl Champ,cac45cf2235c8c1872ef28c57242ff4b
2021,737770240984965120,8,736803054736822272,TylerWicks,Opted Out,e7af4deab0289b4f5505646424895246
2021,737770240984965120,9,710284244835979264,brockhusk,Mike White GOAT,e7af4deab0289b4f5505646424895246
2021,737770240984965120,10,475399371639222272,cc5597,No Punt Intended,8fcf0e0e6a75e96a591d2a4a4a400f41
2022,792230908764721152,1,608781531883859968,bgreenblatt,Taylor Park Boys,9f2f265e886d5a55d670236275e88fe0
2022,792230908764721152,2,736077599457026048,Erjohnson14,Dairy Sanders,6e611998104204ee21e4b2bb3aa37a5f
2022,792230908764721152,3,737091087440674816,MaxSirianni,Tucker right in the pu$$y,8e1247598f587f8f4257ed435ba089be
2022,792230908764721152,4,736744257179770880,jdrobny,Rather Be Lucky Than Good,031e98053cebc51f2ca17b05f9bef39f
2022,792230908764721152,5,716698629934481408,kaufmannc,Mar-a-lago Raiders ,6a807a1e5ef51c7b64f1d4d06076f7d9
2022,792230908764721152,6,736740647758938112,JSanDusky69,2 Girls 0 Kupps,0f813fa81779005b70e54c8cec253a90
2022,792230908764721152,7,735974647736213504,KingTowsk,Leeroy Jenkins,8519622c66cb50a87823353d553d806c
2022,792230908764721152,8,736803054736822272,TylerWicks,Sick of Gesicki,e7af4deab0289b4f5505646424895246
2022,792230908764721152,9,710284244835979264,brockhusk,Super Flex Offenders ,e7af4deab0289b4f5505646424895246
2022,792230908764721152,10,475399371639222272,cc5597,The Bengalphin Boys,8fcf0e0e6a75e96a591d2a4a4a400f41
2023,918159976101695488,1,608781531883859968,bgreenblatt,Taylor Park Boys,b30101daf7f261c4bf86da2cd1577193
2023,918159976101695488,2,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,6e611998104204ee21e4b2bb3aa37a5f
2023,918159976101695488,3,737091087440674816,MaxSirianni,I hate Joe Burrow,8e1247598f587f8f4257ed435ba089be
2023,918159976101695488,4,736744257179770880,jdrobny,B2B,031e98053cebc51f2ca17b05f9bef39f
2023,918159976101695488,5,716698629934481408,kaufmannc,London Has Fallen,6a807a1e5ef51c7b64f1d4d06076f7d9
2023,918159976101695488,6,736740647758938112,JSanDusky69,Tua Girls One Kupp,0f813fa81779005b70e54c8cec253a90
2023,918159976101695488,7,735974647736213504,KingTowsk,Leeroy Jenkins,8519622c66cb50a87823353d553d806c
2023,918159976101695488,8,736803054736822272,TylerWicks,Christian Mingle,e7af4deab0289b4f5505646424895246
2023,918159976101695488,9,710284244835979264,brockhusk,Toss My Saleh’d,e7af4deab0289b4f5505646424895246
2023,918159976101695488,10,475399371639222272,cc5597,Bill Ninerkingz,8fcf0e0e6a75e96a591d2a4a4a400f41
2024,1052021385972924416,1,608781531883859968,bgreenblatt,Love Thy Nabers,b30101daf7f261c4bf86da2cd1577193
2024,1052021385972924416,2,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,6e611998104204ee21e4b2bb3aa37a5f
2024,1052021385972924416,3,737091087440674816,MaxSirianni,Joeybagofdonuts2.0,8e1247598f587f8f4257ed435ba089be
2024,1052021385972924416,4,736744257179770880,jdrobny,Stick in the Mud,031e98053cebc51f2ca17b05f9bef39f
2024,1052021385972924416,5,716698629934481408,kaufmannc,Clownin’ Around,6a807a1e5ef51c7b64f1d4d06076f7d9
2024,1052021385972924416,6,736740647758938112,JSanDusky69,Respect Your Elders,0f813fa81779005b70e54c8cec253a90
2024,1052021385972924416,7,735974647736213504,KingTowsk,Leeroy Jenkins,8519622c66cb50a87823353d553d806c
2024,1052021385972924416,8,736803054736822272,TylerWicks,Dont stop Bo-lievin’,e7af4deab0289b4f5505646424895246
2024,1052021385972924416,9,710284244835979264,brockhusk,Brauk Tua Spit On That,e7af4deab0289b4f5505646424895246
2024,1052021385972924416,10,475399371639222272,cc5597,The Problems,8fcf0e0e6a75e96a591d2a4a4a400f41
2025,1181057208099323904,1,608781531883859968,bgreenblatt,Young and Beautiful ,b30101daf7f261c4bf86da2cd1577193
2025,1181057208099323904,2,736077599457026048,Erjohnson14,The TrashMen,6e611998104204ee21e4b2bb3aa37a5f
2025,1181057208099323904,3,737091087440674816,MaxSirianni,We Built This Griddy,8e1247598f587f8f4257ed435ba089be
2025,1181057208099323904,4,736744257179770880,jdrobny,Stick em up,031e98053cebc51f2ca17b05f9bef39f
2025,1181057208099323904,5,716698629934481408,charliekaufmann,Clownin’ Around,6a807a1e5ef51c7b64f1d4d06076f7d9
2025,1181057208099323904,6,736740647758938112,JSanDusky69,Manicures & Misery,0f813fa81779005b70e54c8cec253a90
2025,1181057208099323904,7,735974647736213504,KingTowsk,Aaron Yeo’s future team,8519622c66cb50a87823353d553d806c
2025,1181057208099323904,8,736803054736822272,TylerWicks,Stopped Bo-lievin’,e7af4deab0289b4f5505646424895246
2025,1181057208099323904,9,710284244835979264,brockhusk,Just End The Season,e7af4deab0289b4f5505646424895246
2025,1181057208099323904,10,475399371639222272,cc5597,Baby Dak Gibbs,8fcf0e0e6a75e96a591d2a4a4a400f41
2025,1181057208099323904,11,865793938542456832,Jacktaco98,So white it hurts,f0edbf4278f53f9425db175073df6584
2025,1181057208099323904,12,1136842855890366464,akepple9,Something About Flacco ,b3338675f635c2c1f42b469621d38ec6
2026,1315570882550202368,1,608781531883859968,bgreenblatt,Young and Beautiful ,b30101daf7f261c4bf86da2cd1577193
2026,1315570882550202368,2,736077599457026048,Erjohnson14,The TrashMen,6e611998104204ee21e4b2bb3aa37a5f
2026,1315570882550202368,3,737091087440674816,MaxSirianni,We Built This Griddy,8e1247598f587f8f4257ed435ba089be
2026,1315570882550202368,4,736744257179770880,jdrobny,Stick em up,031e98053cebc51f2ca17b05f9bef39f
2026,1315570882550202368,5,716698629934481408,charliekaufmann,Clownin’ Around,6a807a1e5ef51c7b64f1d4d06076f7d9
2026,1315570882550202368,6,736740647758938112,JSanDusky69,Manicures & Misery,0f813fa81779005b70e54c8cec253a90
2026,1315570882550202368,7,735974647736213504,KingTowsk,Aaron Yeo’s future team,8519622c66cb50a87823353d553d806c
2026,1315570882550202368,8,736803054736822272,TylerWicks,Stopped Bo-lievin’,e7af4deab0289b4f5505646424895246
2026,1315570882550202368,9,710284244835979264,brockhusk,Just End The Season,e7af4deab0289b4f5505646424895246
2026,1315570882550202368,10,475399371639222272,cc5597,Baby Dak Gibbs,8fcf0e0e6a75e96a591d2a4a4a400f41
2026,1315570882550202368,11,865793938542456832,Jacktaco98,So white it hurts,f0edbf4278f53f9425db175073df6584
2026,1315570882550202368,12,1136842855890366464,akepple9,Something About Flacco ,b3338675f635c2c1f42b469621d38ec6
