season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2021,1,1,bgreenblatt,Ellis is a homo,149.98,8,TylerWicks,115.9,W,False
2021,1,2,Erjohnson14,Ben choked ,134.24,10,cc5597,115.6,W,False
2021,1,3,MaxSirianni,Brad can you Diggs it?,131.4,6,JSanDusky69,158.68,L,False
2021,1,4,jdrobny,Kareem in her Hunt,129.64,9,brockhusk,165.96,L,False
2021,1,5,kaufmannc,Cleveland Steamers,166.66,7,KingTowsk,155.68,W,False
2021,1,6,JSanDusky69,2 Girls 1 Kupp,158.68,3,MaxSirianni,131.4,W,False
2021,1,7,KingTowsk,The Toilet Bowl Champ,155.68,5,kaufmannc,166.66,L,False
2021,1,8,TylerWicks,Opted Out,115.9,1,bgreenblatt,149.98,L,False
2021,1,9,brockhusk,Mike White GOAT,165.96,4,jdrobny,129.64,W,False
2021,1,10,cc5597,No Punt Intended,115.6,2,Erjohnson14,134.24,L,False
2021,2,1,bgreenblatt,Ellis is a homo,100.64,4,jdrobny,173.92,L,False
2021,2,2,Erjohnson14,Ben choked ,154.14,5,kaufmannc,167.94,L,False
2021,2,3,MaxSirianni,Brad can you Diggs it?,120.14,10,cc5597,139.32,L,False
2021,2,4,jdrobny,Kareem in her Hunt,173.92,1,bgreenblatt,100.64,W,False
2021,2,5,kaufmannc,Cleveland Steamers,167.94,2,Erjohnson14,154.14,W,False
2021,2,6,JSanDusky69,2 Girls 1 Kupp,134.6,7,KingTowsk,131.8,W,False
2021,2,7,KingTowsk,The Toilet Bowl Champ,131.8,6,JSanDusky69,134.6,L,False
2021,2,8,TylerWicks,Opted Out,201.96,9,brockhusk,130.8,W,False
2021,2,9,brockhusk,Mike White GOAT,130.8,8,TylerWicks,201.96,L,False
2021,2,10,cc5597,No Punt Intended,139.32,3,MaxSirianni,120.14,W,False
2021,3,1,bgreenblatt,Ellis is a homo,181.9,9,brockhusk,139.16,W,False
2021,3,2,Erjohnson14,Ben choked ,138.3,3,MaxSirianni,120.56,W,False
2021,3,3,MaxSirianni,Brad can you Diggs it?,120.56,2,Erjohnson14,138.3,L,False
2021,3,4,jdrobny,Kareem in her Hunt,171.08,8,TylerWicks,175.06,L,False
2021,3,5,kaufmannc,Cleveland Steamers,131.34,6,JSanDusky69,130.4,W,False
2021,3,6,JSanDusky69,2 Girls 1 Kupp,130.4,5,kaufmannc,131.34,L,False
2021,3,7,KingTowsk,The Toilet Bowl Champ,114.84,10,cc5597,160.12,L,False
2021,3,8,TylerWicks,Opted Out,175.06,4,jdrobny,171.08,W,False
2021,3,9,brockhusk,Mike White GOAT,139.16,1,bgreenblatt,181.9,L,False
2021,3,10,cc5597,No Punt Intended,160.12,7,KingTowsk,114.84,W,False
2021,4,1,bgreenblatt,Ellis is a homo,141.34,2,Erjohnson14,159.32,L,False
2021,4,2,Erjohnson14,Ben choked ,159.32,1,bgreenblatt,141.34,W,False
2021,4,3,MaxSirianni,Brad can you Diggs it?,97.46,4,jdrobny,180.56,L,False
2021,4,4,jdrobny,Kareem in her Hunt,180.56,3,MaxSirianni,97.46,W,False
2021,4,5,kaufmannc,Cleveland Steamers,187.74,10,cc5597,110.18,W,False
2021,4,6,JSanDusky69,2 Girls 1 Kupp,161.26,9,brockhusk,147.1,W,False
2021,4,7,KingTowsk,The Toilet Bowl Champ,106.48,8,TylerWicks,127.94,L,False
2021,4,8,TylerWicks,Opted Out,127.94,7,KingTowsk,106.48,W,False
2021,4,9,brockhusk,Mike White GOAT,147.1,6,JSanDusky69,161.26,L,False
2021,4,10,cc5597,No Punt Intended,110.18,5,kaufmannc,187.74,L,False
2021,5,1,bgreenblatt,Ellis is a homo,213.58,10,cc5597,190.58,W,False
2021,5,2,Erjohnson14,Ben choked ,131.56,7,KingTowsk,201.0,L,False
2021,5,3,MaxSirianni,Brad can you Diggs it?,166.68,9,brockhusk,159.04,W,False
2021,5,4,jdrobny,Kareem in her Hunt,218.14,6,JSanDusky69,102.94,W,False
2021,5,5,kaufmannc,Cleveland Steamers,133.18,8,TylerWicks,121.22,W,False
2021,5,6,JSanDusky69,2 Girls 1 Kupp,102.94,4,jdrobny,218.14,L,False
2021,5,7,KingTowsk,The Toilet Bowl Champ,201.0,2,Erjohnson14,131.56,W,False
2021,5,8,TylerWicks,Opted Out,121.22,5,kaufmannc,133.18,L,False
2021,5,9,brockhusk,Mike White GOAT,159.04,3,MaxSirianni,166.68,L,False
2021,5,10,cc5597,No Punt Intended,190.58,1,bgreenblatt,213.58,L,False
2021,6,1,bgreenblatt,Ellis is a homo,169.56,3,MaxSirianni,126.48,W,False
2021,6,2,Erjohnson14,Ben choked ,154.14,6,JSanDusky69,185.98,L,False
2021,6,3,MaxSirianni,Brad can you Diggs it?,126.48,1,bgreenblatt,169.56,L,False
2021,6,4,jdrobny,Kareem in her Hunt,149.1,5,kaufmannc,143.92,W,False
2021,6,5,kaufmannc,Cleveland Steamers,143.92,4,jdrobny,149.1,L,False
2021,6,6,JSanDusky69,2 Girls 1 Kupp,185.98,2,Erjohnson14,154.14,W,False
2021,6,7,KingTowsk,The Toilet Bowl Champ,134.24,9,brockhusk,150.06,L,False
2021,6,8,TylerWicks,Opted Out,117.62,10,cc5597,137.42,L,False
2021,6,9,brockhusk,Mike White GOAT,150.06,7,KingTowsk,134.24,W,False
2021,6,10,cc5597,No Punt Intended,137.42,8,TylerWicks,117.62,W,False
2021,7,1,bgreenblatt,Ellis is a homo,148.4,6,JSanDusky69,135.24,W,False
2021,7,2,Erjohnson14,Ben choked ,160.48,8,TylerWicks,146.38,W,False
2021,7,3,MaxSirianni,Brad can you Diggs it?,98.98,7,KingTowsk,171.06,L,False
2021,7,4,jdrobny,Kareem in her Hunt,143.4,10,cc5597,180.08,L,False
2021,7,5,kaufmannc,Cleveland Steamers,122.18,9,brockhusk,128.04,L,False
2021,7,6,JSanDusky69,2 Girls 1 Kupp,135.24,1,bgreenblatt,148.4,L,False
