season,player_id,player_name,position,weeks_rostered,points_regular,points_total,points_started,weeks_started
2023,6786,CeeDee Lamb,WR,18,285.7,408.7,390.1,16
2023,4984,Josh Allen,QB,18,311.78,396.64,380.48,16
2023,4034,Christian McCaffrey,RB,18,314.4,395.8,395.8,17
2023,3321,Tyreek Hill,WR,18,334.2,387.9,387.9,16
2023,6904,Jalen Hurts,QB,18,293.18,357.32,357.32,17
2023,3294,Dak Prescott,QB,18,276.7,347.84,341.78,16
2023,7547,Amon-Ra St. Brown,WR,18,231.6,336.9,312.2,15
2023,4881,Lamar Jackson,QB,18,250.26,328.72,310.18,16
2023,6804,Jordan Love,QB,18,226.16,315.56,106.3,6
2023,8183,Brock Purdy,QB,18,249.42,295.1,234.92,14
2023,5859,A.J. Brown,WR,18,260.8,294.6,294.6,17
2023,8155,Breece Hall,RB,18,190.0,294.5,252.7,15
2023,3163,Jared Goff,QB,18,212.56,291.1,291.1,17
2023,4983,DJ Moore,WR,18,235.2,291.0,291.0,17
2023,7543,Travis Etienne,RB,18,228.9,286.4,286.4,17
2023,2216,Mike Evans,WR,18,227.5,286.0,230.8,14
2023,4046,Patrick Mahomes,QB,18,238.82,283.22,283.22,17
2023,1479,Keenan Allen,WR,18,280.86,280.86,280.86,13
2023,9493,Puka Nacua,WR,17,203.0,280.1,280.1,16
2023,9758,C.J. Stroud,QB,18,245.04,279.52,196.22,10
2023,2449,Stefon Diggs,WR,18,237.3,276.8,276.8,17
2023,6768,Tua Tagovailoa,QB,18,219.38,270.36,270.36,17
2023,7564,Ja'Marr Chase,WR,18,245.32,268.72,255.72,14
2023,8136,Rachaad White,RB,18,204.9,268.4,135.9,8
2023,4018,Joe Mixon,RB,18,199.5,267.5,237.8,16
2023,2133,Davante Adams,WR,18,187.7,267.4,267.4,17
2023,7523,Trevor Lawrence,QB,18,220.84,263.04,210.88,14
2023,8162,Sam Howell,QB,18,239.94,260.54,94.56,6
2023,1234,Russell Wilson,QB,18,215.86,255.4,207.62,14
2023,6803,Brandon Aiyuk,WR,18,199.3,254.2,220.8,15
2023,2749,Raheem Mostert,RB,17,222.9,253.2,225.7,14
2023,6819,Michael Pittman,WR,18,223.4,252.2,227.3,14
2023,7569,Nico Collins,WR,17,185.9,250.9,222.8,13
2023,3198,Derrick Henry,RB,18,196.28,248.66,230.56,16
2023,9509,Bijan Robinson,RB,18,190.0,248.3,248.3,17
2023,421,Matthew Stafford,QB,18,193.78,247.1,209.72,14
2023,5872,Deebo Samuel,WR,18,192.0,246.7,246.1,14
2023,9221,Jahmyr Gibbs,RB,18,178.5,242.1,242.1,15
2023,10859,Sam LaPorta,TE,18,177.6,240.3,197.2,14
2023,2028,Derek Carr,QB,18,152.6,240.12,179.68,12
2023,8150,Kyren Williams,RB,17,167.6,239.6,211.6,11
2023,4892,Baker Mayfield,QB,16,166.36,239.16,230.12,14
2023,6797,Justin Herbert,QB,14,235.66,235.66,235.66,13
2023,8144,Chris Olave,WR,18,189.8,233.8,233.8,16
2023,4035,Alvin Kamara,RB,18,201.6,233.0,233.0,14
2023,2309,Amari Cooper,WR,18,155.6,232.5,189.1,13
2023,4981,Calvin Ridley,WR,18,165.2,232.4,162.7,13
2023,8138,James Cook,RB,18,178.0,232.2,182.3,14
2023,1689,Adam Thielen,WR,18,193.8,230.5,80.4,7
2023,7525,DeVonta Smith,WR,18,196.2,230.1,220.7,16
2023,4066,Evan Engram,TE,18,169.1,229.3,196.8,16
2023,1373,Geno Smith,QB,18,175.22,229.26,175.1,11
2023,5846,DK Metcalf,WR,18,181.9,228.4,89.6,6
2023,1426,DeAndre Hopkins,WR,18,187.7,227.6,106.5,10
2023,7591,Justin Fields,QB,18,161.7,226.68,226.68,13
2023,9756,Jordan Addison,WR,18,173.0,225.8,129.1,11
2023,4866,Saquon Barkley,RB,18,166.1,223.7,223.7,14
2023,5967,Tony Pollard,RB,18,185.6,221.1,198.6,15
2023,1466,Travis Kelce,TE,18,198.6,220.4,212.6,15
2023,5844,T.J. Hockenson,TE,18,197.4,219.5,207.2,14
2023,8205,Isiah Pacheco,RB,18,175.3,215.9,198.5,13
2023,8146,Garrett Wilson,WR,18,178.7,215.7,201.8,15
2023,8137,George Pickens,WR,18,147.7,213.3,58.7,6
2023,4037,Chris Godwin,WR,18,141.7,210.7,111.5,11
2023,5927,Terry McLaurin,WR,18,147.4,209.7,137.5,11
2023,5892,David Montgomery,RB,18,162.1,209.7,152.6,11
2023,9997,Zay Flowers,WR,18,162.9,208.4,101.7,9
2023,4217,George Kittle,TE,18,173.3,206.7,206.7,17
2023,6794,Justin Jefferson,WR,18,116.8,206.2,206.2,10
2023,4137,James Conner,RB,18,105.7,203.5,203.5,13
2023,2374,Tyler Lockett,WR,18,162.1,202.4,87.0,8
2023,7526,Jaylen Waddle,WR,18,165.2,201.6,151.5,12
2023,DAL,Dallas Cowboys,DEF,18,175.75,201.0,164.5,12
2023,8151,Kenneth Walker,RB,18,149.0,200.4,121.7,9
2023,6790,D'Andre Swift,RB,18,166.0,198.3,117.1,11
2023,8154,Brian Robinson,RB,18,176.0,198.1,68.2,7
2023,7528,Najee Harris,RB,18,130.9,195.5,63.7,6
2023,BAL,Baltimore Ravens,DEF,17,156.25,191.75,138.0,12
2023,5045,Courtland Sutton,WR,18,177.9,191.2,58.0,6
2023,5947,Jakobi Meyers,WR,16,133.4,189.48,46.7,4
2023,NYJ,New York Jets,DEF,18,138.5,189.0,102.0,9
2023,8143,Jerome Ford,RB,16,139.8,189.0,76.0,6
2023,4033,David Njoku,TE,15,125.0,186.2,180.2,14
2023,4663,Austin Ekeler,RB,18,150.6,184.9,158.4,11
2023,5850,Josh Jacobs,RB,18,181.6,181.6,181.6,13
2023,7588,Javonte Williams,RB,18,135.0,179.2,137.2,11
2023,8228,Jaylen Warren,RB,16,128.5,177.5,40.5,4
2023,8112,Drake London,WR,18,146.38,175.38,42.2,7
2023,BUF,Buffalo Bills,DEF,18,121.5,175.0,155.0,15
2023,8121,Romeo Doubs,WR,18,144.7,173.4,55.3,5
2023,6845,Zack Moss,RB,17,156.8,172.1,51.9,5
2023,CLE,Cleveland Browns,DEF,14,115.75,169.0,146.5,12
2023,4039,Cooper Kupp,WR,18,117.2,167.9,141.9,12
2023,SF,San Francisco 49ers,DEF,18,128.5,161.5,161.5,17
2023,6943,Gabe Davis,WR,15,135.3,160.3,13.4,2
2023,6813,Jonathan Taylor,RB,18,101.1,156.4,140.5,8
2023,10229,Rashee Rice,WR,12,102.3,155.3,56.3,5
2023,5937,Diontae Johnson,WR,15,102.5,153.2,56.0,4
2023,4179,Joshua Dobbs,QB,11,152.4,152.4,95.48,7
2023,1166,Kirk Cousins,QB,8,152.24,152.24,122.18,7
2023,4950,Christian Kirk,WR,18,151.76,151.76,84.6,8
2023,6770,Joe Burrow,QB,11,151.16,151.16,142.5,9
2023,10236,Dalton Kincaid,TE,18,120.5,150.3,23.2,2
2023,4195,Jake Elliott,K,18,116.0,150.0,147.0,16
2023,9488,Jaxon Smith-Njigba,WR,18,110.3,149.8,9.3,1
2023,1264,Justin Tucker,K,18,108.0,148.0,148.0,17
2023,7611,Rhamondre Stevenson,RB,18,147.2,147.2,123.1,10
2023,11533,Brandon Aubrey,K,15,117.0,145.0,145.0,15
2023,6783,Jerry Jeudy,WR,18,98.7,141.8,11.4,1
2023,5849,Kyler Murray,QB,18,68.66,140.86,140.86,8
2023,9226,De'Von Achane,RB,15,89.9,140.5,129.8,7
2023,6801,Tee Higgins,WR,18,88.1,140.1,114.0,11
2023,2197,Brandin Cooks,WR,16,91.7,138.2,4.2,1
2023,5022,Dallas Goedert,TE,18,98.5,136.8,136.8,14
2023,4227,Harrison Butker,K,17,97.0,136.0,117.0,14
2023,4199,Aaron Jones,RB,18,75.4,135.4,99.0,8
2023,6111,Jake Browning,QB,7,63.84,135.32,44.16,2
2023,MIA,Miami Dolphins,DEF,10,110.5,134.5,114.5,7
2023,5012,Mark Andrews,TE,14,134.4,134.4,134.4,10
2023,6011,Gardner Minshew,QB,10,80.88,133.42,86.88,6
2023,5987,Alexander Mattison,RB,18,123.4,132.2,101.3,9
2023,KC,Kansas City Chiefs,DEF,13,84.25,130.5,85.5,9
2023,7839,Evan McPherson,K,18,105.0,130.0,130.0,17
2023,6130,Devin Singletary,RB,9,74.6,129.5,20.3,1
2023,8130,Trey McBride,TE,10,72.0,124.0,102.4,8
2023,5119,Jason Sanders,K,15,78.0,121.0,114.0,14
2023,5848,Marquise Brown,WR,15,117.3,117.3,38.4,7
2023,8110,Jake Ferguson,TE,11,78.1,117.2,79.2,7
2023,9502,Tank Dell,WR,10,113.4,113.4,47.1,3
2023,8159,Desmond Ridder,QB,10,104.78,111.66,74.96,4
2023,NO,New Orleans Saints,DEF,12,95.25,111.5,109.75,11
2023,9508,Tyjae Spears,RB,13,66.0,110.9,6.2,1
2023,2747,Jason Myers,K,14,73.0,110.0,110.0,14
2023,9753,Zach Charbonnet,RB,18,86.8,106.1,16.9,1
2023,5248,Gus Edwards,RB,10,104.7,104.7,9.8,1
2023,7594,Chuba Hubbard,RB,10,56.2,102.9,50.5,5
2023,8167,Christian Watson,WR,18,101.3,101.3,10.4,2
2023,2505,Darren Waller,TE,11,80.4,100.0,80.6,8
2023,7553,Kyle Pitts,TE,15,86.7,99.6,26.3,6
2023,6826,Cole Kmet,TE,13,61.8,97.4,68.9,8
2023,9228,Bryce Young,QB,11,96.12,96.12,25.88,3
2023,9754,Quentin Johnston,WR,18,68.5,94.0,0.0,0
2023,3199,Michael Thomas,WR,16,89.8,89.8,23.7,2
2023,PHI,Philadelphia Eagles,DEF,12,69.0,88.5,64.0,9
2023,8131,Isaiah Likely,TE,7,30.2,86.1,20.8,1
2023,4017,Deshaun Watson,QB,10,84.3,84.3,70.88,4
2023,3164,Ezekiel Elliott,RB,5,27.0,82.2,82.2,5
2023,8119,Jahan Dotson,WR,15,69.5,80.5,10.3,3
2023,6945,Antonio Gibson,RB,10,70.0,78.5,8.5,1
2023,7670,Joshua Palmer,WR,7,44.9,77.9,0.0,0
2023,4111,D'Onta Foreman,RB,7,77.2,77.2,28.5,3
2023,ATL,Atlanta Falcons,DEF,7,76.25,76.25,64.0,5
2023,4666,Younghoe Koo,K,11,55.0,75.0,74.0,9
2023,9999,Will Levis,QB,8,60.3,73.76,48.52,4
2023,9500,Josh Downs,WR,11,42.1,72.0,4.4,1
2023,9229,Anthony Richardson,QB,6,70.68,70.68,70.68,4
2023,8230,Ty Chandler,RB,6,17.1,70.3,53.2,4
2023,PIT,Pittsburgh Steelers,DEF,9,67.75,67.75,18.75,4
2023,1348,Dustin Hopkins,K,9,57.0,67.0,67.0,9
2023,7042,Tyler Bass,K,10,54.0,66.0,66.0,10
2023,10222,Jayden Reed,WR,5,5.6,65.4,42.6,2
2023,19,Joe Flacco,QB,4,0.0,65.34,0.0,0
2023,8160,Kenny Pickett,QB,7,64.64,64.64,40.26,4
2023,7608,Khalil Herbert,RB,8,63.9,63.9,0.0,0
2023,8259,Cameron Dicker,K,8,62.0,62.0,62.0,8
2023,7066,K.J. Osborn,WR,12,34.8,59.5,3.7,1
2023,3225,Tyler Boyd,WR,6,47.8,58.7,30.1,2
2023,2251,Logan Thomas,TE,9,57.1,57.1,48.1,7
2023,NE,New England Patriots,DEF,6,56.25,56.25,56.25,6
2023,8129,Dameon Pierce,RB,9,56.1,56.1,9.2,1
2023,7596,Elijah Moore,WR,8,55.1,55.1,0.0,0
2023,5870,Daniel Jones,QB,9,54.96,54.96,54.96,6
2023,HOU,Houston Texans,DEF,5,5.5,53.75,53.75,5
2023,6151,Miles Sanders,RB,9,53.2,53.2,44.1,5
2023,1837,Jimmy Garoppolo,QB,6,52.88,52.88,8.88,1
2023,CIN,Cincinnati Bengals,DEF,7,31.75,52.5,23.5,5
2023,LAC,Los Angeles Chargers,DEF,5,53.0,51.25,48.0,3
2023,4068,Mike Williams,WR,4,51.2,51.2,51.2,3
2023,7922,Riley Patterson,K,7,49.0,49.0,49.0,7
2023,6083,Matt Gay,K,7,15.0,48.0,48.0,7
