season,player_id,player_name,position,weeks_rostered,points_regular,points_total,points_started,weeks_started
2021,4039,Cooper Kupp,WR,18,305.1,440.5,440.5,17
2021,4984,Josh Allen,QB,18,259.84,388.08,353.86,16
2021,6813,Jonathan Taylor,RB,18,308.4,374.1,374.1,17
2021,167,Tom Brady,QB,18,272.04,371.74,371.74,17
2021,6797,Justin Herbert,QB,18,262.78,370.76,347.72,16
2021,4046,Patrick Mahomes,QB,18,232.86,349.16,349.16,17
2021,2133,Davante Adams,WR,18,220.3,346.3,346.3,16
2021,4663,Austin Ekeler,RB,18,259.1,342.8,324.6,15
2021,5872,Deebo Samuel,WR,18,234.9,338.96,306.06,15
2021,6794,Justin Jefferson,WR,18,242.7,331.4,331.4,17
2021,96,Aaron Rodgers,QB,18,214.32,317.8,317.8,16
2021,421,Matthew Stafford,QB,18,246.34,315.74,315.74,17
2021,7564,Ja'Marr Chase,WR,18,202.3,312.6,290.7,16
2021,3294,Dak Prescott,QB,18,205.4,303.06,303.06,16
2021,7528,Najee Harris,RB,18,215.6,300.7,300.7,17
2021,5012,Mark Andrews,TE,18,178.1,300.1,300.1,17
2021,3321,Tyreek Hill,WR,18,236.8,296.5,296.5,17
2021,6904,Jalen Hurts,QB,18,240.9,293.66,293.66,16
2021,6770,Joe Burrow,QB,18,188.8,291.74,274.16,16
2021,4018,Joe Mixon,RB,18,224.0,286.9,276.4,16
2021,2449,Stefon Diggs,WR,18,201.8,284.0,284.0,17
2021,1166,Kirk Cousins,QB,18,226.62,279.84,279.84,17
2021,5849,Kyler Murray,QB,18,192.06,275.98,275.98,14
2021,5937,Diontae Johnson,WR,18,206.0,275.4,275.4,16
2021,1466,Travis Kelce,TE,18,189.2,262.8,236.0,14
2021,2216,Mike Evans,WR,18,197.4,262.5,220.9,14
2021,1479,Keenan Allen,WR,18,203.9,256.8,256.8,16
2021,4137,James Conner,RB,18,185.9,255.7,118.4,8
2021,3969,Leonard Fournette,RB,18,217.6,254.5,155.9,8
2021,3164,Ezekiel Elliott,RB,18,195.66,252.06,252.06,17
2021,4068,Mike Williams,WR,18,186.4,248.6,196.4,14
2021,7526,Jaylen Waddle,WR,18,198.2,244.8,162.5,10
2021,2374,Tyler Lockett,WR,18,171.1,244.4,215.0,14
2021,5846,DK Metcalf,WR,18,171.0,244.3,244.3,17
2021,4037,Chris Godwin,WR,18,211.0,242.4,242.4,14
2021,1049,Ryan Tannehill,QB,18,167.56,240.36,197.2,13
2021,6819,Michael Pittman,WR,18,188.3,237.6,94.7,8
2021,4983,DJ Moore,WR,18,176.9,237.5,154.0,11
2021,4035,Alvin Kamara,RB,18,158.0,234.7,234.7,13
2021,2028,Derek Carr,QB,18,187.22,234.46,134.98,10
2021,6786,CeeDee Lamb,WR,18,182.2,232.8,232.8,16
2021,2197,Brandin Cooks,WR,18,159.3,231.8,108.5,9
2021,6945,Antonio Gibson,RB,18,169.6,228.1,169.2,13
2021,4199,Aaron Jones,RB,18,162.2,228.0,225.7,15
2021,5850,Josh Jacobs,RB,18,151.8,226.0,195.7,13
2021,BUF,Buffalo Bills,DEF,18,163.5,225.5,202.5,13
2021,1234,Russell Wilson,QB,18,132.48,221.82,221.82,14
2021,7090,Darnell Mooney,WR,18,150.8,220.7,97.0,5
2021,4881,Lamar Jackson,QB,18,219.8,220.48,220.48,12
2021,6801,Tee Higgins,WR,18,145.8,219.1,176.4,12
2021,4988,Nick Chubb,RB,18,150.3,216.3,216.3,14
2021,5927,Terry McLaurin,WR,18,173.0,213.5,213.5,17
2021,5890,Damien Harris,RB,18,147.8,211.1,97.2,7
2021,NE,New England Patriots,DEF,17,184.0,210.0,146.5,9
2021,6790,D'Andre Swift,RB,18,189.4,209.9,170.9,11
2021,7527,Mac Jones,QB,18,156.06,208.94,21.68,1
2021,4029,Dalvin Cook,RB,18,145.5,207.3,207.3,14
2021,5848,Marquise Brown,WR,17,162.6,204.9,145.6,11
2021,7588,Javonte Williams,RB,18,147.9,203.9,86.2,6
2021,3161,Carson Wentz,QB,16,161.62,202.02,152.8,11
2021,2309,Amari Cooper,WR,18,137.4,201.5,201.5,15
2021,1535,Cordarrelle Patterson,RB,16,165.1,201.0,150.2,12
2021,TB,Tampa Bay Buccaneers,DEF,18,145.0,200.0,141.5,11
2021,24,Matt Ryan,QB,18,151.06,198.92,88.68,9
2021,1689,Adam Thielen,WR,18,191.8,198.8,198.8,15
2021,4217,George Kittle,TE,18,133.0,197.0,176.9,13
2021,138,Ben Roethlisberger,QB,16,142.82,196.6,139.28,12
2021,IND,Indianapolis Colts,DEF,18,160.0,196.5,135.0,11
2021,2320,Melvin Gordon,RB,18,138.1,196.1,61.1,4
2021,5892,David Montgomery,RB,18,116.0,195.0,166.2,11
2021,3198,Derrick Henry,RB,18,194.3,194.3,194.3,8
2021,6130,Devin Singletary,RB,18,94.3,192.8,10.9,1
2021,7525,DeVonta Smith,WR,18,144.1,185.6,48.9,4
2021,5955,Hunter Renfrow,WR,13,102.2,185.6,80.5,6
2021,6828,AJ Dillon,RB,18,128.4,184.6,53.3,4
2021,5859,A.J. Brown,WR,18,127.5,181.9,111.4,9
2021,2711,Taylor Heinicke,QB,13,171.48,177.16,76.78,7
2021,7553,Kyle Pitts,TE,18,125.9,176.6,165.5,16
2021,5947,Jakobi Meyers,WR,17,122.4,175.9,52.4,4
2021,6955,James Robinson,RB,16,152.7,171.9,138.1,12
2021,515,Rob Gronkowski,TE,18,112.6,171.2,99.7,7
2021,LAR,Los Angeles Rams,DEF,18,110.0,171.0,120.0,12
2021,DAL,Dallas Cowboys,DEF,11,80.5,169.5,120.5,8
2021,6803,Brandon Aiyuk,WR,18,103.0,169.3,19.6,4
2021,2152,Teddy Bridgewater,QB,17,150.14,168.72,79.86,6
2021,6886,Chase Claypool,WR,18,116.4,166.6,69.0,5
2021,6768,Tua Tagovailoa,QB,15,133.2,165.42,60.82,5
2021,4993,Mike Gesicki,TE,18,137.2,165.0,94.8,11
2021,ARI,Arizona Cardinals,DEF,16,131.5,164.0,79.0,6
2021,5916,Darrell Henderson,RB,18,157.0,163.4,131.1,13
2021,5967,Tony Pollard,RB,17,135.1,161.6,18.1,3
2021,3225,Tyler Boyd,WR,15,98.34,161.34,33.24,2
2021,1264,Justin Tucker,K,18,113.0,160.0,160.0,17
2021,5857,Noah Fant,TE,18,109.4,159.0,159.0,16
2021,1144,Cole Beasley,WR,18,123.1,158.3,21.9,5
2021,4892,Baker Mayfield,QB,18,125.42,156.4,103.0,8
2021,SF,San Francisco 49ers,DEF,12,93.0,154.5,104.5,9
2021,5022,Dallas Goedert,TE,17,113.6,152.0,60.8,6
2021,1339,Zach Ertz,TE,15,89.2,151.7,86.0,8
2021,5549,Darrel Williams,RB,11,92.6,151.6,106.7,8
2021,5001,Dalton Schultz,TE,14,77.9,150.7,109.1,8
2021,5045,Courtland Sutton,WR,18,125.9,150.24,93.8,9
2021,4866,Saquon Barkley,RB,18,98.8,148.6,83.4,6
2021,7561,Elijah Mitchell,RB,17,119.1,148.6,83.8,5
2021,1426,DeAndre Hopkins,WR,14,136.8,147.2,136.0,9
2021,3271,Tyler Higbee,TE,18,100.5,146.0,71.1,9
2021,5844,T.J. Hockenson,TE,18,145.3,145.3,121.7,10
2021,5000,Chase Edmonds,RB,18,98.1,143.3,80.2,8
2021,MIA,Miami Dolphins,DEF,9,71.5,141.5,58.0,4
2021,5980,Myles Gaskin,RB,17,126.4,140.7,58.1,8
2021,7042,Tyler Bass,K,18,101.0,139.0,139.0,17
2021,1352,Robert Woods,WR,9,137.2,137.2,122.4,8
2021,830,A.J. Green,WR,15,105.8,137.2,21.4,2
2021,NO,New Orleans Saints,DEF,12,51.5,137.0,35.5,4
2021,4950,Christian Kirk,WR,13,68.22,136.22,45.42,4
2021,5095,Daniel Carlson,K,14,94.0,136.0,106.0,12
2021,4227,Harrison Butker,K,18,96.0,135.0,118.0,14
2021,2505,Darren Waller,TE,18,129.3,133.5,129.3,10
2021,6083,Matt Gay,K,16,89.0,133.0,133.0,15
2021,CLE,Cleveland Browns,DEF,13,108.5,132.5,79.5,7
2021,367,Jared Cook,TE,18,96.0,132.4,39.5,6
2021,3214,Hunter Henry,TE,16,83.7,131.6,32.6,5
2021,1825,Jarvis Landry,WR,18,78.5,131.5,23.9,3
2021,2078,Odell Beckham,WR,18,76.3,130.1,30.9,2
2021,7607,Michael Carter,RB,15,102.6,129.2,68.6,6
2021,3664,J.D. McKissic,RB,18,127.9,127.9,30.8,3
2021,BAL,Baltimore Ravens,DEF,18,94.0,127.0,49.5,6
2021,4034,Christian McCaffrey,RB,12,126.5,126.5,126.5,7
2021,17,Matt Prater,K,16,75.0,126.0,117.0,14
2021,7594,Chuba Hubbard,RB,16,81.0,125.7,74.0,6
2021,1837,Jimmy Garoppolo,QB,11,72.52,125.38,92.78,8
2021,4666,Younghoe Koo,K,18,74.0,123.0,123.0,17
2021,536,Antonio Brown,WR,17,96.4,122.1,52.1,4
2021,DEN,Denver Broncos,DEF,11,108.0,121.5,96.5,7
2021,7523,Trevor Lawrence,QB,13,120.64,120.18,88.14,7
2021,7547,Amon-Ra St. Brown,WR,6,9.1,120.1,52.1,2
2021,GB,Green Bay Packers,DEF,12,76.5,118.0,54.5,4
2021,4943,Sam Darnold,QB,9,117.94,117.94,106.18,8
2021,6820,Clyde Edwards-Helaire,RB,18,79.3,117.6,98.6,9
2021,6151,Miles Sanders,RB,18,94.8,117.2,91.1,11
2021,7596,Elijah Moore,WR,12,115.1,115.1,29.9,2
2021,4351,Tim Patrick,WR,15,78.4,115.0,3.6,1
2021,5906,Dawson Knox,TE,14,67.5,111.7,49.4,7
2021,2306,Jameis Winston,QB,8,110.9,110.9,44.5,4
2021,4098,Kareem Hunt,RB,18,106.2,110.0,60.1,4
2021,5987,Alexander Mattison,RB,15,82.6,109.7,70.8,3
2021,4036,Corey Davis,WR,13,105.2,105.2,23.2,2
2021,7571,Rashod Bateman,WR,18,55.1,103.5,0.0,0
2021,4962,Sony Michel,RB,10,36.7,103.4,0.0,0
2021,2431,Mike Davis,RB,13,102.5,102.5,12.0,2
2021,7591,Justin Fields,QB,18,70.04,102.3,30.42,3
2021,5347,Nyheim Miller-Hines,RB,16,81.0,100.3,8.7,2
2021,2168,Devonta Freeman,RB,9,60.6,99.6,66.2,6
2021,1067,Marvin Jones,WR,10,99.4,99.4,45.9,5
2021,4149,Jamaal Williams,RB,12,71.4,98.7,8.0,1
2021,3242,Kenyan Drake,RB,12,96.5,96.5,52.1,4
2021,5870,Daniel Jones,QB,11,95.96,95.96,40.9,4
2021,1266,Greg Zuerlein,K,14,68.0,94.0,94.0,13
2021,PIT,Pittsburgh Steelers,DEF,12,92.5,92.5,57.0,6
2021,TEN,Tennessee Titans,DEF,8,23.0,92.0,82.5,7
2021,PHI,Philadelphia Eagles,DEF,9,55.0,92.0,62.5,6
2021,5038,Michael Gallup,WR,18,54.4,91.5,39.6,3
2021,5917,Mecole Hardman,WR,13,91.2,91.2,0.0,0
2021,6814,Laviska Shenault,WR,12,90.1,90.1,0.0,0
2021,650,Nick Folk,K,9,70.0,90.0,90.0,9
2021,4131,Kenny Golladay,WR,18,66.9,89.1,0.0,0
2021,6853,Van Jefferson,WR,10,50.9,89.0,54.2,6
2021,6845,Zack Moss,RB,12,88.1,88.1,4.4,1
2021,CAR,Carolina Panthers,DEF,8,82.5,88.0,69.5,7
2021,391,Ryan Succop,K,12,54.0,88.0,88.0,12
2021,2319,DeVante Parker,WR,15,58.4,87.0,0.0,0
2021,6789,Henry Ruggs,WR,8,85.5,85.5,7.1,1
