season,roster_id,user_id,manager,team_name,wins,losses,ties,points_for,points_against,potential_points,efficiency,draft_slot,finish,champion,made_playoffs,waiver_budget_used,total_moves
2023,9,710284244835979264,brockhusk,Toss My Saleh’d,12,2,0,2106.38,1819.24,2251.69,0.9355,3,1,0,1,116,0
2023,7,735974647736213504,KingTowsk,Leeroy Jenkins,10,4,0,2085.31,1838.72,2360.04,0.8836,7,2,0,1,125,0
2023,1,608781531883859968,bgreenblatt,Taylor Park Boys,9,5,0,1925.3,1942.08,2110.33,0.9123,8,3,1,1,125,0
2023,4,736744257179770880,jdrobny,B2B,8,6,0,1981.21,1881.78,2233.78,0.8869,2,4,0,1,125,0
2023,8,736803054736822272,TylerWicks,Christian Mingle,7,7,0,1961.91,2056.63,2146.44,0.914,4,5,0,1,87,0
2023,2,736077599457026048,Erjohnson14,Johnson’s Lil Johnson,7,7,0,1947.92,1870.35,2291.35,0.8501,1,6,0,1,106,0
2023,3,737091087440674816,MaxSirianni,I hate Joe Burrow,6,8,0,1820.09,1883.59,2103.39,0.8653,10,7,0,0,81,0
2023,5,716698629934481408,kaufmannc,London Has Fallen,4,10,0,1812.07,2013.55,2182.63,0.8302,9,8,0,0,91,0
2023,10,475399371639222272,cc5597,Bill Ninerkingz,4,10,0,1754.26,1967.42,2021.19,0.8679,6,9,0,0,125,0
2023,6,736740647758938112,JSanDusky69,Tua Girls One Kupp,3,11,0,1775.98,1897.07,2039.61,0.8707,5,10,0,0,125,0
